Float,0,Element_Type,0,Size,1
Float,1,Element_Type,0,Size,0
Stack,0,String,1,Thread_Safety,1
Stack,0,Element_Type,0,Counter,0
Float,0,Element_Type,0,Size,0
Stack,0,String,0,Thread_Safety,0
Stack,0,String,0,Thread_Safety,1
Stack,0,String,1,Thread_Safety,0
Stack,0,Float,0,Bounds_Check,0
Additional_Features,0,Thread_Safety,1,Optimization,0
Float,1,Element_Type,0,Size,1
Float,1,Integer,1,Fixed,0
Stack,0,Bounds_Check,0,Thread_Safety,1
Stack,0,Bounds_Check,1,Thread_Safety,0
Element_Type,0,Bounds_Check,1,Fixed,0
Element_Type,0,Bounds_Check,0,Fixed,1
Element_Type,0,Bounds_Check,0,Fixed,0
Stack,0,Float,1,Bounds_Check,1
Memory_Usage,1,Dynamic,1,Fixed,1
Float,1,Integer,1,Fixed,1
Float,0,Additional_Features,0,Bounds_Check,1
Stack,0,Bounds_Check,1,Thread_Safety,1
Element_Type,0,Bounds_Check,1,Fixed,1
Stack,0,Bounds_Check,0,Thread_Safety,0
Stack,0,Float,0,Bounds_Check,1
Stack,0,Float,1,Bounds_Check,0
Float,1,Additional_Features,0,Bounds_Check,1
Memory_Usage,0,Dynamic,1,Fixed,1
Stack,1,Element_Type,0,Counter,1
Stack,0,Element_Type,1,Counter,1
Float,1,Fixed,1,Size,0
Stack,0,Type_Check,1,Integer,0
Stack,0,Type_Check,0,Integer,1
Float,0,Fixed,1,Size,0
Stack,0,Type_Check,0,Integer,0
Stack,1,Element_Type,0,Counter,0
Stack,0,Element_Type,1,Counter,0
Stack,0,Element_Type,0,Counter,1
Value,1,Thread_Safety,0,Size,0
Float,1,Integer,1,Thread_Safety,1
Stack,0,Type_Check,1,Integer,1
Element_Type,0,Value,0,Counter,0
Float,1,Integer,1,Thread_Safety,0
Float,1,Additional_Features,1,Integer,1
Additional_Features,0,Speed,1,Thread_Safety,1
Element_Type,0,Speed,0,Size,0
Stack,0,Speed,0,Fixed,0
Value,1,Thread_Safety,1,Size,0
Additional_Features,0,Bounds_Check,1,Fixed,0
Memory_Usage,1,String,1,Optimization,0
Memory_Usage,1,String,0,Optimization,0
Element_Type,0,Value,0,Counter,1
Element_Type,0,Value,1,Counter,0
Additional_Features,0,Speed,0,Thread_Safety,1
Memory_Usage,1,Speed,1,Size,0
Stack,0,Speed,1,Fixed,1
Value,1,Bounds_Check,0,Fixed,0
Value,0,Bounds_Check,0,Fixed,1
Memory_Usage,1,Speed,1,Size,1
Float,1,Value,1,Size,0
Stack,0,Speed,0,Fixed,1
Stack,0,Speed,1,Fixed,0
Element_Type,0,Speed,1,Size,0
Element_Type,0,Speed,0,Size,1
Float,1,Additional_Features,0,Integer,1
Element_Type,0,Speed,1,Size,1
Float,0,Value,1,Size,0
Value,1,Bounds_Check,1,Fixed,0
Value,0,Bounds_Check,1,Fixed,1
Additional_Features,0,Bounds_Check,1,Fixed,1
Element_Type,0,Counter,0,Fixed,0
Element_Type,0,Counter,1,Fixed,1
Speed,1,Optimization,0,Fixed,0
Element_Type,0,Counter,1,Fixed,0
Element_Type,0,Counter,0,Fixed,1
Element_Type,0,Counter,0,Thread_Safety,0
Element_Type,0,Counter,1,Thread_Safety,0
Element_Type,0,Counter,0,Thread_Safety,1
Speed,1,Optimization,0,Fixed,1
Memory_Usage,1,Type_Check,1,Speed,1
Element_Type,0,Counter,1,Thread_Safety,1
Speed,1,Fixed,1,Size,0
Float,0,Dynamic,1,Fixed,1
Value,1,Speed,0,Dynamic,1
Speed,0,Fixed,1,Size,0
Additional_Features,1,Dynamic,1,Size,0
Additional_Features,0,Dynamic,1,Size,0
Value,1,Speed,1,Dynamic,1
Element_Type,0,Type_Check,0,Size,0
Element_Type,0,Value,0,Thread_Safety,0
Element_Type,0,Value,1,Counter,1
Float,1,Dynamic,1,Fixed,1
Type_Check,0,Dynamic,1,Fixed,1
Stack,0,Speed,0,Size,0
Stack,0,Speed,0,Size,1
Stack,0,Speed,1,Size,0
